gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_bucket,services_count,monthly_to_total_ratio,internet_no_techsupport,ExpectedTenure,CLV
0,0,0,0,66,1,0,0,2,2,2,0,0,0,2,1,0,61.15,4017.45,2,5,0.9954285289526499,1,66,4035.9
0,0,0,0,65,1,0,0,2,2,2,2,2,2,2,1,0,84.85,5459.2,2,8,0.9898372693894202,0,65,5515.25
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,2,20.35,1354.4,2,1,0.9243789243789244,0,72,1465.2
1,0,1,1,68,1,0,0,0,0,2,2,2,2,2,1,0,72.95,4953.25,2,6,0.9985183243962423,0,68,4960.6
1,0,1,1,12,0,1,0,0,2,0,2,0,0,0,0,3,35.5,432.25,3,3,1.0146713615023475,0,24,852.0
0,0,1,0,39,1,0,1,2,0,2,2,2,2,1,1,1,104.7,4134.85,2,7,1.0126245928538193,0,39,4083.3
0,0,1,0,46,1,0,0,0,2,0,2,2,0,2,1,1,64.2,3009.5,2,5,1.019064066097792,0,46,2953.2000000000003
0,0,1,0,71,0,1,0,0,2,2,2,2,2,2,1,1,61.4,4310.35,2,6,0.9887484516217829,0,71,4359.4
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,69.7,69.7,0,2,1.0,1,24,1672.8000000000002
1,0,1,1,16,1,0,0,2,2,0,0,0,0,1,1,3,55.85,857.8,1,4,0.9599373321396597,1,24,1340.4
0,0,1,0,11,1,2,1,0,0,0,0,2,2,0,1,2,94.0,1078.9,3,5,1.043423597678917,1,24,2256.0
0,0,0,0,18,1,0,1,2,0,0,0,0,0,0,1,2,75.4,1380.4,1,3,1.017094017094017,1,24,1809.6000000000001
1,0,1,0,72,1,2,1,0,2,2,0,2,2,2,1,0,104.8,7470.1,2,7,0.9899941687871079,1,72,7545.599999999999
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,3,46.0,492.1,3,2,1.0697826086956521,1,24,1104.0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.9,20.9,0,1,1.0,0,24,501.59999999999997
0,0,1,0,21,1,2,1,2,0,2,0,2,2,0,1,0,104.4,2200.25,1,7,1.003580550994344,1,24,2505.6000000000004
1,0,0,0,32,1,0,1,0,0,0,0,2,2,0,0,2,91.05,2871.5,2,4,0.9855505216913784,1,32,2913.6
0,0,0,0,18,1,0,1,0,0,0,0,0,0,0,1,2,69.8,1221.65,1,2,0.9723416109519263,1,24,1675.1999999999998
1,0,0,0,72,1,2,1,2,2,2,2,2,2,2,1,2,118.2,8547.15,2,9,1.0043182459108855,0,72,8510.4
0,1,0,0,10,1,0,1,0,0,2,0,0,2,0,1,1,84.6,865.55,3,4,1.0231087470449172,1,24,2030.3999999999999
1,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.15,802.35,2,1,0.971191672214489,0,41,826.15
0,0,1,1,1,0,1,0,0,0,0,2,2,0,0,0,2,40.1,40.1,0,3,1.0,0,24,962.4000000000001
0,0,1,1,16,1,0,1,0,2,0,0,0,0,0,0,0,73.25,1195.75,1,3,1.0202645051194539,1,24,1758.0
1,1,0,0,8,1,0,1,0,0,0,0,0,0,0,1,2,69.7,560.85,3,2,1.0058285509325682,1,24,1672.8000000000002
1,0,0,1,6,1,0,1,0,0,2,0,2,2,0,0,3,94.5,575.45,0,5,1.0149029982363316,1,24,2268.0
1,0,0,0,54,1,0,1,2,2,0,2,2,2,1,1,1,105.4,5643.4,2,7,0.9915313795769203,0,54,5691.6
1,1,0,0,24,1,2,1,0,2,0,0,2,2,0,1,2,101.25,2440.15,1,6,1.0041769547325103,1,24,2430.0
0,0,0,0,23,1,0,2,1,1,1,1,1,1,1,1,1,19.65,478.1,1,1,1.0578603827857065,0,24,471.59999999999997
1,0,0,1,45,1,2,1,0,0,2,0,2,2,2,0,0,99.7,4634.35,2,6,1.0329544188119917,1,45,4486.5
0,0,1,1,8,1,0,0,0,0,0,0,0,0,0,1,2,45.45,411.75,3,2,1.1324257425742574,1,24,1090.8000000000002
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,0,1,1.0,1,24,595.2
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,44.9,44.9,0,2,1.0,1,24,1077.6
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1493.75,2,1,0.9879298941798942,0,72,1512.0
0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,45.0,127.1,0,2,0.9414814814814815,1,24,1080.0
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1778.5,1,3,1.0310144927536231,1,24,1800.0
0,1,0,0,54,1,2,0,0,2,0,2,2,0,1,0,3,72.1,3886.05,2,6,0.9981121898597628,0,54,3893.3999999999996
0,0,1,0,69,1,2,1,2,0,0,0,2,2,2,0,0,99.15,6875.35,2,6,1.0049697793564136,1,69,6841.35
0,0,1,1,8,1,0,2,1,1,1,1,1,1,1,1,3,19.75,145.0,3,1,0.9177215189873418,0,24,474.0
0,0,1,1,12,1,0,2,1,1,1,1,1,1,0,0,0,19.4,198.1,3,1,0.8509450171821307,0,24,465.59999999999997
1,0,0,0,71,1,2,1,2,2,2,2,2,2,1,1,0,116.3,8309.55,2,9,1.006327734247272,0,71,8257.3
0,0,1,0,69,1,2,2,1,1,1,1,1,1,2,1,1,24.95,1718.35,2,2,0.9981412099561442,0,69,1721.55
0,0,0,0,36,1,0,0,2,2,2,2,2,0,1,1,3,76.35,2606.35,2,7,0.9482463799752602,0,36,2748.6
1,0,0,0,38,1,0,0,0,0,2,2,0,2,1,1,3,62.3,2354.8,2,5,0.9946777054997044,0,38,2367.4
0,0,0,0,33,1,2,0,2,0,0,2,0,0,1,0,2,59.4,1952.8,2,5,0.9962248750127538,0,33,1960.2
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,0,1,1.0,1,24,595.2
1,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,3,20.45,638.55,2,1,1.0072560927517944,0,31,633.9499999999999
1,0,0,0,58,1,2,2,1,1,1,1,1,1,2,1,1,25.3,1474.35,2,2,1.0047362682295216,0,58,1467.4
1,0,0,0,51,1,2,1,0,2,0,0,0,0,0,0,0,81.0,4085.75,2,4,0.9890462357782619,1,51,4131.0
0,0,1,1,13,1,0,0,2,0,0,2,0,0,1,0,0,54.15,701.05,1,4,0.9958803892321898,0,24,1299.6
1,0,1,1,58,1,2,1,0,0,2,2,0,2,2,0,0,94.35,5563.65,2,6,1.0166931637519874,0,58,5472.299999999999
1,0,0,0,35,1,2,2,1,1,1,1,1,1,0,1,2,25.6,901.25,2,2,1.005859375,0,35,896.0
0,0,1,0,70,1,0,0,2,2,2,2,2,2,2,0,1,86.45,5950.2,2,8,0.9832603486738825,0,70,6051.5
1,0,0,0,65,1,2,2,1,1,1,1,1,1,1,0,1,24.8,1600.95,2,2,0.9931451612903226,0,65,1612.0
0,0,0,0,18,1,2,1,0,0,0,2,2,0,0,1,2,88.35,1639.3,1,5,1.0308117965163806,0,24,2120.3999999999996
1,0,0,0,45,1,0,0,2,0,0,0,0,0,0,1,0,50.9,2298.55,2,3,1.0035145164811177,1,45,2290.5
1,1,1,0,41,1,2,1,0,0,2,0,2,2,0,1,2,99.8,4259.3,2,6,1.040935529595777,1,41,4091.7999999999997
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,2,4,0.9843728932394897,1,47,3708.3
0,0,1,1,72,1,2,0,2,2,2,2,0,2,2,1,0,79.5,5661.7,2,8,0.989116002795248,0,72,5724.0
1,0,1,0,62,1,0,0,0,2,2,2,0,0,2,1,1,60.15,3753.2,2,5,1.0064087094092726,0,62,3729.2999999999997
0,0,1,1,23,1,2,2,1,1,1,1,1,1,2,1,1,25.6,514.75,1,2,0.8742357336956521,0,24,614.4000000000001
1,0,0,0,56,1,2,2,1,1,1,1,1,1,1,0,2,24.9,1334.0,2,2,0.9566838783706254,0,56,1394.3999999999999
